CellV [A^3],Df,NASA [m^2/cm^3],total_POV_gravimetric,mc_CRY-chi-0-all,mc_CRY-chi-1-all,mc_CRY-chi-3-all,mc_CRY-Z-0-all,mc_CRY-S-0-all,D_mc_CRY-S-2-all,sum-mc_CRY-Z-1-all,sum-D_mc_CRY-T-3-all,lc-chi-3-all,lc-Z-2-all,lc-alpha-0-all,D_lc-chi-1-all,D_lc-chi-3-all,D_lc-T-1-all,D_lc-T-3-all,D_lc-S-1-all,D_lc-alpha-2-all,func-chi-0-all,func-Z-1-all,func-T-3-all,D_func-chi-3-all,D_func-T-1-all,D_func-T-3-all,f-lig-T-1,sum-D_lc-Z-2-all,sum-D_lc-Z-3-all,sum-D_lc-T-3-all,sum-func-Z-0-all,sum-D_func-chi-2-all,sum-D_func-T-2-all,sum-f-lig-Z-3,MNC,MPC,pure_CO2_kH,pure_CO2_widomHOA,pure_methane_kH,pure_methane_widomHOA,pure_uptake_CO2_298.00_15000,pure_uptake_methane_298.00_580000,temperature,solvent1,solvent2,solvent3,additive,param3,param4,param5,additive_category,time
1687.55,4.25008,1.26543,0.213001,2.7225,19.206,43.329,900.0,1.7161,1.66,3240.0,36.0,12.648,101.5,41.425,0.445,1.135,-1.0,-2.5,-0.02,-4.95,10.5376,69.5,9.0,1.38,-1.5,-3.0,252.0,3.0,5.0,-5.0,113.0,1.38,-3.0,4128.0,-0.739,1.224,0.00098392,-35.14872557,1.23e-05,-17.75567818,4.52409384,2.295599974,80.0,962.0,6228.0,0.0,0.0,0.556383507,0.054733945,-0.246392443,1.0,48.0
2547.95,2.9646,370.14,0.128479,3.61,20.77333333,46.82866667,841.0,1.9044,2.846666667,4408.0,80.0,19.336,105.0,41.425,0.935,1.975,-2.0,-1.5,-0.04,-4.0,5.9168,24.0,3.0,0.89,-1.0,-2.0,300.0,64.0,68.0,-12.0,256.0,3.56,-8.0,16672.0,-1.128,0.911,0.000309874,-31.26738722,2.21e-05,-20.25915137,1.453344258,2.098765567,180.0,962.0,702.0,0.0,0.0,-0.110283159,0.083073132,-0.129610464,1.0,12.0
19207.3,11.55698,0.0,1.64189,2.7225,22.704,59.4594,900.0,1.7161,2.64,19200.0,400.0,17.544,112.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,9.8896,80.25,33.0,3.175,1.0,2.0,372.0,32.0,64.0,-64.0,844.0,27.08,-8.0,44288.0,-1.17,1.24,0.000100569,-31.70514836,4.71e-06,-7.848497366,0.924913213,2.490521184,85.0,12051.0,0.0,0.0,0.0,-0.110283159,-0.097046499,0.394733864,1.0,16.0
2767.43,3.50411,850.721,0.253914,2.4025,25.327,47.802,625.0,1.9321,2.48,7600.0,210.0,17.544,112.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,5.9168,24.0,3.0,0.89,-1.0,-2.0,540.0,8.0,16.0,-16.0,128.0,1.78,-4.0,17792.0,-0.586,1.297,0.0245887,-47.48651643,2.79e-05,-18.41942521,5.593956839,3.606181582,85.0,962.0,6228.0,0.0,0.0,-0.110283159,-0.003003152,0.082883502,1.0,72.0
1398.01,4.80567,0.0,0.280794,3.61,24.624,47.614,841.0,1.9044,3.74,1740.0,24.0,12.648,101.5,41.425,0.445,1.135,-1.0,-2.5,-0.02,-4.95,9.2416,91.0,12.0,0.98,-1.0,-2.0,228.0,3.0,5.0,-5.0,98.0,0.98,-2.0,3080.0,-0.533,0.889,0.000330865,-31.28768698,1.21e-05,-15.95682376,3.019881405,2.761419563,90.0,6228.0,702.0,0.0,0.0,-0.110283159,-0.089079437,0.295377468,1.0,72.0
7211.15,7.10734,0.0,0.913723,3.61,26.144,45.524,841.0,1.9044,2.44,7424.0,96.0,17.544,112.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,990.0,8.0,16.0,-16.0,0.0,0.0,0.0,28672.0,-0.419,0.906,6.77e-05,-20.21143985,2.23e-05,-15.39240187,0.894056214,5.8788937,60.0,962.0,6228.0,0.0,313.0,-0.110283159,0.083073132,-0.129610464,2.0,48.0
676.592,3.46859,37.9192,0.0379076,3.61,16.8625,37.126,841.0,1.9044,3.08,2378.0,20.0,11.096,57.75,72.9925,0.3675,0.91,-0.75,-0.5,-0.015,-2.45,4.6208,42.0,12.0,0.98,-1.0,-2.0,167.0,16.0,16.0,-2.0,98.0,1.96,-4.0,3968.0,-0.371,0.826,2.01e-05,-31.41559934,6.05e-06,-24.75745651,0.215793666,1.049697841,160.0,962.0,0.0,0.0,0.0,-0.110283159,0.083073132,-0.129610464,1.0,72.0
7711.03,4.05596,39.8772,0.3169363,2.7225,22.704,39.534,900.0,1.7161,2.16,5760.0,88.0,20.06666667,112.0,28.09,0.89,2.193333333,-2.0,-4.0,-0.04,-6.0,11.8336,50.66666667,8.0,1.78,-1.333333333,-3.333333333,608.0,8.0,25.33333333,-16.0,256.0,3.56,-5.333333333,22208.0,-0.452,1.251,0.000151345,-23.92673916,2.96e-05,-18.09062188,1.95375048,4.933145436,90.0,962.0,6228.0,0.0,313.0,0.389716841,0.061818741,-0.217196949,2.0,72.0
3743.97,6.82671,0.0,0.286351,1.44,33.024,34.872,3969.0,2.8224,5.46,32256.0,432.0,17.544,112.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,24.0,48.0,-48.0,0.0,0.0,0.0,17040.0,-0.547,1.956,0.000329724,-37.06765377,6.85e-06,-15.75025713,2.494817112,2.30432848,60.0,962.0,6228.0,0.0,0.0,0.556383507,0.054733945,-0.246392443,1.0,96.0
2364.33,4.62411,0.0,0.151031,3.5344,36.5472,88.9428,729.0,1.5876,4.41,4860.0,272.0,20.753,108.5,44.75875,0.94625,2.085,-2.0,-1.0,-0.04,-3.8625,9.8896,80.25,18.58333333,1.856666667,-0.166666667,-1.5,300.0,70.0,78.0,-8.0,422.0,10.46,-2.0,16040.0,-0.473,1.167,5.98e-05,-24.24765116,2.26e-05,-19.87148292,0.710354594,2.358626637,150.0,962.0,0.0,0.0,14798.0,-0.110283159,0.083073132,-0.129610464,0.0,96.0
