mc_CRY-chi-1-all,mc_CRY-Z-3-all,mc_CRY-S-2-all,sum-D_mc_CRY-chi-3-all,func-alpha-2-all,f-lig-T-2,MPC,logKH_CH4,CH4DC,temperature,time
28.62453333,2314.666667,6.784066667,-27.94,139.8333333,254.6666667,1.121,-5.189706309,63.97711679,160.0,96.0
36.29653333,2052.0,9.0552,-35.64,0.0,413.6,1.085,-4.42728519,67.33065613,160.0,12.0
24.3648,1566.0,5.8212,-37.6,281.6144444,748.0,1.152,-5.392721948,25.85914024,130.0,72.0
36.5472,1755.0,7.7616,-41.24,267.995,926.0,1.15,-4.373015343,12.83499057,120.0,120.0
21.285,2535.0,7.922225,-141.52,29.32666667,256.0,1.21,-4.755621432,89.47741664,110.0,72.0
21.06333333,7037.333333,20.07693333,-475.4,591.5415385,1732.0,2.052,-4.546874383,36.27314448,100.0,60.0
38.6672,2592.0,9.1168,-29.82,182.37,633.0,1.226,-4.646039554,85.44238584,100.0,24.0
32.61973333,7139.833333,13.99585,-386.58,43.99,224.0,1.654,-5.388313858,42.73329716,170.0,72.0
34.3408,6835.2,13.59232,-288.28,29.945,340.0,1.245,-5.069534919,30.00996043,160.0,72.0
36.5472,1660.5,7.2765,-35.76,397.38,722.0,1.159,-4.200453382,24.43088561,180.0,24.0
23.104,1624.0,8.5008,-45.6,186.085,596.0,0.85,-5.032523632,215.2373851,120.0,96.0
22.704,5460.0,7.7616,-181.92,239.56,190.0,1.956,-5.423169336,127.2794524,120.0,21.0
15.9866,2285.2,5.48688,-57.6,173.9822222,494.0,0.825,-5.158288356,29.38786732,150.0,72.0
21.384,2820.0,10.1394,-137.84,0.0,392.0,1.178,-4.979746476,158.4986926,130.0,72.0
26.0376,3572.0,12.5874,-291.0,43.99,978.0,1.532,-4.82544306,116.6630715,100.0,120.0
26.144,1624.0,4.2504,-52.56,224.87,1352.0,0.908,-4.772861749,166.892569,90.0,48.0
20.9776,886.0,4.448033333,-105.12,227.37,1896.0,1.211,-4.642682747,49.87187521,90.0,96.0
28.392,7728.0,15.9692,-192.3,209.1,312.0,1.213,-5.144548689,104.2742655,120.0,72.0
21.824,2080.0,8.0696,-71.84,308.47832,1443.0,1.654,-4.9380916,49.70753371,80.0,48.0
20.064,1740.0,8.0696,-25.16,338.92,460.0,1.175,-4.388752659,18.8381683,100.0,72.0
34.2056,6240.0,12.358,-101.96,0.0,684.0,1.222,-3.806752926,11.72745232,160.0,72.0
28.45568,2181.6,6.5268,-143.56,227.37,866.0,1.147,-4.585536412,30.52927971,160.0,72.0
29.293,4674.0,9.3626,-87.4,259.4933333,410.0,1.606,-5.199653467,139.5275625,105.0,24.0
29.068,2304.0,4.5584,-17.38,148.9028571,908.0,1.248,-4.855808888,92.03759328,85.0,72.0
17.028,1260.0,3.0261,-32.28,157.675,1346.0,1.213,-4.687812061,121.5140496,115.0,120.0
26.66,1750.0,5.3515,-57.8,180.9066667,866.0,1.312,-4.787005837,43.59917882,150.0,96.0
21.02986667,800.0,6.857333333,-97.92,0.0,424.0,1.48,-4.437646458,34.9017398,110.0,24.0
36.5472,1755.0,7.7616,-41.24,208.105,983.0,1.154,-4.63025737,66.53750718,160.0,72.0
22.704,2328.0,6.943,-161.24,43.99,484.0,1.225,-4.738000051,94.79648745,60.0,72.0
23.541,2088.0,6.0444,-118.72,0.0,228.0,0.909,-4.97510404,127.0370649,85.0,48.0
13.4848,126.0,4.8412,-48.36,194.5933333,994.0,0.56,-5.335858409,84.88189792,100.0,72.0
24.624,1740.0,6.3204,-32.92,230.1,1844.0,0.907,-4.756627053,125.9216041,100.0,48.0
24.3648,1512.0,5.8212,-33.68,43.99,698.0,1.111,-4.792680765,19.49929816,120.0,72.0
30.832,1350.0,5.8212,-125.44,207.99,499.0,1.155,-4.390555005,34.92264072,90.0,72.0
31.00586667,3584.0,6.077866667,-83.52,0.0,332.0,1.249,-4.646378012,45.84938715,100.0,72.0
34.2798,5880.0,9.7266,-103.88,1729.95,1124.0,2.158,-4.754610729,79.90096131,140.0,72.0
64.584,9936.0,38.78266667,-276.72,0.0,30.4,0.31,-5.117737939,45.69270041,150.0,24.0
